"http://www.votesmart.org/issue_rating_detail.php?r_id=2117&rtype=E",,,,
"NY","U.S. House",17,"Eliot Engel",
"NY","U.S. House",2,"Steve Israel",
"NY","U.S. House",1,"Timothy Bishop","Democratic"
"NY","U.S. House",5,"Gary Ackerman",
"NY","U.S. House",4,"Carolyn McCarthy",
"NV","U.S. House",1,"Shelley Berkley","Democratic"
"NJ","U.S. House",9,"Steven Rothman","Democratic"
"NJ","U.S. House",8,"William Pascrell","Democratic"
"NJ","U.S. House",12,"Rush Holt","Democratic"
"NJ","U.S. House",10,"Donald Payne","Democratic"
"NY","U.S. House",14,"Carolyn Maloney",
"NY","U.S. House",12,"Nydia Velázquez",
"NY","U.S. House",16,"José Serrano",
"NY","U.S. House",15,"Charles Rangel",
"NY","U.S. House",10,"Edolphus Towns","Democratic"
"NY","U.S. House",7,"Joseph Crowley",
"NY","U.S. House",6,"Gregory Meeks","Democratic"
"NY","U.S. House",9,"Anthony David Weiner",
"NY","U.S. House",8,"Jerrold Nadler",
"MO","U.S. House",1,"William Lacy Clay","Democratic"
"MN","U.S. House",4,"Betty McCollum","Democratic/Farmer/Labor"
"MO","U.S. House",5,"Emanuel Cleaver","Democratic"
"MO","U.S. House",3,"John Russell Carnahan","Democratic"
"MI","U.S. House",14,"John Conyers","Democratic"
"MI","U.S. House",5,"Dale Kildee","Democratic"
"MI","U.S. House",1,"Bart Stupak","Democratic"
"MI","U.S. House",13,"Carolyn Kilpatrick","Democratic"
"MI","U.S. House",12,"Sander Levin","Democratic"
"NJ","U.S. House",2,"Frank LoBiondo","Republican"
"NJ","U.S. House",1,"Robert Andrews","Democratic"
"NJ","U.S. House",6,"Frank Pallone","Democratic"
"NJ","U.S. House",4,"Christopher Smith","Republican"
"NC","U.S. House",13,"Ralph Miller","Democratic"
"NC","U.S. House",2,"Bob Etheridge","Democratic"
"NC","U.S. House",1,"George Butterfield","Democratic"
"NC","U.S. House",12,"Melvin Watt","Democratic"
"NC","U.S. House",4,"David Price","Democratic"
"WI","U.S. House",7,"David Ross Obey","Democratic"
"TX","U.S. House",30,"Eddie Bernice Johnson","Democratic"
"TX","U.S. House",20,"Charles Gonzalez","Democratic"
"VA","U.S. House",8,"James Moran","Democratic"
"VA","U.S. House",3,"Robert Scott","Democratic"
"TX","U.S. House",18,"Sheila Jackson Lee","Democratic"
"SC","U.S. House",6,"James Clyburn","Democratic"
"SC","U.S. House",5,"John Spratt","Democratic"
"TN","U.S. House",6,"Bart Gordon","Democratic"
"TN","U.S. House",5,"Jim Cooper","Democratic"
"WI","U.S. House",2,"Tammy Baldwin","Democratic"
"WA","U.S. House",9,"Adam Smith","Democratic"
"WI","U.S. House",4,"Gwendolynne Moore","Democratic"
"WI","U.S. House",3,"Ronald Kind","Democratic"
"WA","U.S. House",7,"James McDermott","Democratic"
"WA","U.S. House",2,"Rick Larsen","Democratic"
"WA","U.S. House",1,"Jay Inslee","Democratic"
"WA","U.S. House",6,"Norman Dicks","Democratic"
"WA","U.S. House",3,"Brian Baird","Democratic"
"OH","U.S. House",10,"Dennis Kucinich","Democratic"
"OH","U.S. House",9,"Marcy Kaptur","Democratic"
"OH","U.S. House",17,"Timothy Ryan","Democratic"
"OH","U.S. House",11,"Stephanie Tubbs Jones","Democratic"
"NY","U.S. House",28,"Louise Slaughter",
"NY","U.S. House",21,"Michael McNulty",
"NY","U.S. House",18,"Nita Lowey",
"NY","U.S. House",27,"Brian Higgins",
"NY","U.S. House",22,"Maurice Hinchey",
"PA","U.S. House",14,"Michael Doyle","Democratic"
"PA","U.S. House",13,"Allyson Schwartz","Democratic"
"RI","U.S. House",2,"James Langevin","Democratic"
"RI","U.S. House",1,"Patrick Kennedy","Democratic"
